,Country,Link
166,Papua New Guinea,http://berkeleyearth.lbl.gov/regions/papua-new-guinea
167,Paraguay,http://berkeleyearth.lbl.gov/regions/paraguay
168,Peru,http://berkeleyearth.lbl.gov/regions/peru
169,Philippines,http://berkeleyearth.lbl.gov/regions/philippines
170,Poland,http://berkeleyearth.lbl.gov/regions/poland
171,Portugal,http://berkeleyearth.lbl.gov/regions/portugal
172,Puerto Rico,http://berkeleyearth.lbl.gov/regions/puerto-rico
173,Qatar,http://berkeleyearth.lbl.gov/regions/qatar
174,Reunion,http://berkeleyearth.lbl.gov/regions/reunion
175,Romania,http://berkeleyearth.lbl.gov/regions/romania
176,Russia,http://berkeleyearth.lbl.gov/regions/russia
177,Rwanda,http://berkeleyearth.lbl.gov/regions/rwanda
178,Saint Barthélemy,http://berkeleyearth.lbl.gov/regions/saint-barthélemy
179,Saint Kitts and Nevis,http://berkeleyearth.lbl.gov/regions/saint-kitts-and-nevis
180,Saint Lucia,http://berkeleyearth.lbl.gov/regions/saint-lucia
181,Saint Martin,http://berkeleyearth.lbl.gov/regions/saint-martin
182,Saint Pierre and Miquelon,http://berkeleyearth.lbl.gov/regions/saint-pierre-and-miquelon
183,Saint Vincent and the Grenadines,http://berkeleyearth.lbl.gov/regions/saint-vincent-and-the-grenadines
184,Samoa,http://berkeleyearth.lbl.gov/regions/samoa
185,San Marino,http://berkeleyearth.lbl.gov/regions/san-marino
186,Sao Tome and Principe,http://berkeleyearth.lbl.gov/regions/sao-tome-and-principe
187,Saudi Arabia,http://berkeleyearth.lbl.gov/regions/saudi-arabia
188,Senegal,http://berkeleyearth.lbl.gov/regions/senegal
189,Serbia,http://berkeleyearth.lbl.gov/regions/serbia
190,Seychelles,http://berkeleyearth.lbl.gov/regions/seychelles
191,Sierra Leone,http://berkeleyearth.lbl.gov/regions/sierra-leone
192,Singapore,http://berkeleyearth.lbl.gov/regions/singapore
193,Sint Maarten,http://berkeleyearth.lbl.gov/regions/sint-maarten
194,Slovakia,http://berkeleyearth.lbl.gov/regions/slovakia
195,Slovenia,http://berkeleyearth.lbl.gov/regions/slovenia
196,Solomon Islands,http://berkeleyearth.lbl.gov/regions/solomon-islands
197,Somalia,http://berkeleyearth.lbl.gov/regions/somalia
198,South Africa,http://berkeleyearth.lbl.gov/regions/south-africa
199,South Georgia and the South Sandwich Isla,http://berkeleyearth.lbl.gov/regions/south-georgia-and-the-south-sandwich-isla
200,South Korea,http://berkeleyearth.lbl.gov/regions/south-korea
201,Spain,http://berkeleyearth.lbl.gov/regions/spain
202,Sri Lanka,http://berkeleyearth.lbl.gov/regions/sri-lanka
203,Sudan,http://berkeleyearth.lbl.gov/regions/sudan
204,Suriname,http://berkeleyearth.lbl.gov/regions/suriname
205,Svalbard and Jan Mayen,http://berkeleyearth.lbl.gov/regions/svalbard-and-jan-mayen
206,Swaziland,http://berkeleyearth.lbl.gov/regions/swaziland
207,Sweden,http://berkeleyearth.lbl.gov/regions/sweden
208,Switzerland,http://berkeleyearth.lbl.gov/regions/switzerland
209,Syria,http://berkeleyearth.lbl.gov/regions/syria
210,Taiwan,http://berkeleyearth.lbl.gov/regions/taiwan
211,Tajikistan,http://berkeleyearth.lbl.gov/regions/tajikistan
212,Tanzania,http://berkeleyearth.lbl.gov/regions/tanzania
213,Thailand,http://berkeleyearth.lbl.gov/regions/thailand
214,Timor-Leste,http://berkeleyearth.lbl.gov/regions/timor-leste
215,Togo,http://berkeleyearth.lbl.gov/regions/togo
216,Tonga,http://berkeleyearth.lbl.gov/regions/tonga
217,Trinidad and Tobago,http://berkeleyearth.lbl.gov/regions/trinidad-and-tobago
218,Tunisia,http://berkeleyearth.lbl.gov/regions/tunisia
219,Turkey,http://berkeleyearth.lbl.gov/regions/turkey
220,Turkmenistan,http://berkeleyearth.lbl.gov/regions/turkmenistan
221,Turks and Caicas Islands,http://berkeleyearth.lbl.gov/regions/turks-and-caicas-islands
222,Uganda,http://berkeleyearth.lbl.gov/regions/uganda
223,Ukraine,http://berkeleyearth.lbl.gov/regions/ukraine
224,United Arab Emirates,http://berkeleyearth.lbl.gov/regions/united-arab-emirates
225,United Kingdom,http://berkeleyearth.lbl.gov/regions/united-kingdom
226,United Kingdom (Europe),http://berkeleyearth.lbl.gov/regions/united-kingdom-(europe)
227,United States,http://berkeleyearth.lbl.gov/regions/united-states
228,Uruguay,http://berkeleyearth.lbl.gov/regions/uruguay
229,Uzbekistan,http://berkeleyearth.lbl.gov/regions/uzbekistan
230,Venezuela,http://berkeleyearth.lbl.gov/regions/venezuela
231,Vietnam,http://berkeleyearth.lbl.gov/regions/vietnam
232,Virgin Islands,http://berkeleyearth.lbl.gov/regions/virgin-islands
233,Western Sahara,http://berkeleyearth.lbl.gov/regions/western-sahara
234,Yemen,http://berkeleyearth.lbl.gov/regions/yemen
235,Zambia,http://berkeleyearth.lbl.gov/regions/zambia
236,Zimbabwe,http://berkeleyearth.lbl.gov/regions/zimbabwe
