region,portion-continent,continent,hemisphere
Guinea-Bissau,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Guyana,NaN,http://berkeleyearth.lbl.gov/regions/south-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Haiti,NaN,http://berkeleyearth.lbl.gov/regions/north-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Heard Island and McDonald Islands,NaN,NaN,NaN
Honduras,http://berkeleyearth.lbl.gov/regions/central-america,http://berkeleyearth.lbl.gov/regions/north-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Hong Kong,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Hungary,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Iceland,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
India,http://berkeleyearth.lbl.gov/regions/southern-asia,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Indonesia,NaN,http://berkeleyearth.lbl.gov/regions/asia,NaN
Iran,http://berkeleyearth.lbl.gov/regions/southern-asia,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Iraq,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Ireland,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Isle of Man,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Israel,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Italy,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Jamaica,NaN,http://berkeleyearth.lbl.gov/regions/north-america,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Japan,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Jersey,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Jordan,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Kazakhstan,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Kenya,NaN,http://berkeleyearth.lbl.gov/regions/africa,NaN
Kingman Reef,NaN,NaN,NaN
Kiribati,NaN,NaN,NaN
Kuwait,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Kyrgyzstan,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Laos,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Latvia,NaN,http://berkeleyearth.lbl.gov/regions/europe,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Lebanon,NaN,http://berkeleyearth.lbl.gov/regions/asia,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Lesotho,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
Liberia,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
Libya,NaN,http://berkeleyearth.lbl.gov/regions/africa,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
