,Country,Link,Generalization
164,Qatar,http://berkeleyearth.lbl.gov/regions/qatar,"Asia, Northern Hemisphere, Global Land"
165,Reunion,http://berkeleyearth.lbl.gov/regions/reunion,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
166,Romania,http://berkeleyearth.lbl.gov/regions/romania,"Europe, Northern Hemisphere, Global Land"
167,Russia,http://berkeleyearth.lbl.gov/regions/russia,"Asia, Northern Hemisphere, Global Land"
168,Rwanda,http://berkeleyearth.lbl.gov/regions/rwanda,"Eastern Africa, Africa, Southern Hemisphere, Global Land"
169,Saint Barthélemy,http://berkeleyearth.lbl.gov/regions/saint-barthélemy,Global Land
170,Saint Kitts and Nevis,http://berkeleyearth.lbl.gov/regions/saint-kitts-and-nevis,Global Land
171,Saint Lucia,http://berkeleyearth.lbl.gov/regions/saint-lucia,Global Land
172,Saint Martin,http://berkeleyearth.lbl.gov/regions/saint-martin,Global Land
173,Saint Pierre and Miquelon,http://berkeleyearth.lbl.gov/regions/saint-pierre-and-miquelon,"South America, North America, Northern Hemisphere, Global Land"
174,Saint Vincent and the Grenadines,http://berkeleyearth.lbl.gov/regions/saint-vincent-and-the-grenadines,Global Land
175,Samoa,http://berkeleyearth.lbl.gov/regions/samoa,"Polynesia, Oceania, Southern Hemisphere, Global Land"
176,San Marino,http://berkeleyearth.lbl.gov/regions/san-marino,"Europe, Northern Hemisphere, Global Land"
177,Sao Tome and Principe,http://berkeleyearth.lbl.gov/regions/sao-tome-and-principe,Global Land
178,Saudi Arabia,http://berkeleyearth.lbl.gov/regions/saudi-arabia,"Asia, Northern Hemisphere, Global Land"
179,Senegal,http://berkeleyearth.lbl.gov/regions/senegal,"Western Africa, Africa, Northern Hemisphere, Global Land"
180,Serbia,http://berkeleyearth.lbl.gov/regions/serbia,"Europe, Northern Hemisphere, Global Land"
181,Seychelles,http://berkeleyearth.lbl.gov/regions/seychelles,Global Land
182,Sierra Leone,http://berkeleyearth.lbl.gov/regions/sierra-leone,"Western Africa, Africa, Northern Hemisphere, Global Land"
183,Singapore,http://berkeleyearth.lbl.gov/regions/singapore,"South-Eastern Asia, Asia, Northern Hemisphere, Global Land"
184,Sint Maarten,http://berkeleyearth.lbl.gov/regions/sint-maarten,Global Land
185,Slovakia,http://berkeleyearth.lbl.gov/regions/slovakia,"Europe, Northern Hemisphere, Global Land"
186,Slovenia,http://berkeleyearth.lbl.gov/regions/slovenia,"Europe, Northern Hemisphere, Global Land"
187,Solomon Islands,http://berkeleyearth.lbl.gov/regions/solomon-islands,"Melanesia, Oceania, Southern Hemisphere, Global Land"
188,Somalia,http://berkeleyearth.lbl.gov/regions/somalia,"Eastern Africa, Africa, Northern Hemisphere, Global Land"
189,South Africa,http://berkeleyearth.lbl.gov/regions/south-africa,"Southern Africa, Africa, Southern Hemisphere, Global Land"
190,South Georgia and the South Sandwich Isla,http://berkeleyearth.lbl.gov/regions/south-georgia-and-the-south-sandwich-isla,"Southern Hemisphere, Global Land"
191,South Korea,http://berkeleyearth.lbl.gov/regions/south-korea,"Eastern Asia, Asia, Northern Hemisphere, Global Land"
192,Spain,http://berkeleyearth.lbl.gov/regions/spain,"Europe, Northern Hemisphere, Global Land"
193,Sri Lanka,http://berkeleyearth.lbl.gov/regions/sri-lanka,"Southern Asia, Asia, Northern Hemisphere, Global Land"
194,Sudan,http://berkeleyearth.lbl.gov/regions/sudan,"Northern Africa, Africa, Northern Hemisphere, Global Land"
195,Suriname,http://berkeleyearth.lbl.gov/regions/suriname,"South America, Northern Hemisphere, Global Land"
196,Svalbard and Jan Mayen,http://berkeleyearth.lbl.gov/regions/svalbard-and-jan-mayen,"Europe, Northern Hemisphere, Global Land"
