,Country,Link,Generalization
140,Moldova,http://berkeleyearth.lbl.gov/regions/moldova,"['Europe', 'Northern Hemisphere', 'Global Land']"
141,Monaco,http://berkeleyearth.lbl.gov/regions/monaco,"['Europe', 'Northern Hemisphere', 'Global Land']"
142,Mongolia,http://berkeleyearth.lbl.gov/regions/mongolia,"['Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
143,Montenegro,http://berkeleyearth.lbl.gov/regions/montenegro,"['Europe', 'Northern Hemisphere', 'Global Land']"
144,Montserrat,http://berkeleyearth.lbl.gov/regions/montserrat,[]
145,Morocco,http://berkeleyearth.lbl.gov/regions/morocco,"['Northern Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
146,Mozambique,http://berkeleyearth.lbl.gov/regions/mozambique,"['Eastern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
147,Namibia,http://berkeleyearth.lbl.gov/regions/namibia,"['Southern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
148,Nepal,http://berkeleyearth.lbl.gov/regions/nepal,"['Southern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
149,Netherlands,http://berkeleyearth.lbl.gov/regions/netherlands,"['Europe', 'Northern Hemisphere', 'Global Land']"
150,Netherlands (Europe),http://berkeleyearth.lbl.gov/regions/netherlands-(europe),"['Europe', 'Northern Hemisphere', 'Global Land']"
151,New Caledonia,http://berkeleyearth.lbl.gov/regions/new-caledonia,"['Melanesia', 'Oceania', 'Southern Hemisphere', 'Global Land']"
152,New Zealand,http://berkeleyearth.lbl.gov/regions/new-zealand,"['Oceania', 'Southern Hemisphere', 'Global Land']"
153,Nicaragua,http://berkeleyearth.lbl.gov/regions/nicaragua,"['Central America', 'North America', 'Northern Hemisphere', 'Global Land']"
154,Niger,http://berkeleyearth.lbl.gov/regions/niger,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
155,Nigeria,http://berkeleyearth.lbl.gov/regions/nigeria,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
156,Niue,http://berkeleyearth.lbl.gov/regions/niue,[]
157,North Korea,http://berkeleyearth.lbl.gov/regions/north-korea,"['Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
158,Northern Mariana Islands,http://berkeleyearth.lbl.gov/regions/northern-mariana-islands,[]
159,Norway,http://berkeleyearth.lbl.gov/regions/norway,"['Europe', 'Northern Hemisphere', 'Global Land']"
160,Oman,http://berkeleyearth.lbl.gov/regions/oman,"['Asia', 'Northern Hemisphere', 'Global Land']"
161,Pakistan,http://berkeleyearth.lbl.gov/regions/pakistan,"['Southern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
162,Palau,http://berkeleyearth.lbl.gov/regions/palau,[]
163,Palestina,http://berkeleyearth.lbl.gov/regions/palestina,['Global Land']
164,Palmyra Atoll,http://berkeleyearth.lbl.gov/regions/palmyra-atoll,[]
165,Panama,http://berkeleyearth.lbl.gov/regions/panama,"['Central America', 'North America', 'Northern Hemisphere', 'Global Land']"
166,Papua New Guinea,http://berkeleyearth.lbl.gov/regions/papua-new-guinea,"['Melanesia', 'Oceania', 'Southern Hemisphere', 'Global Land']"
167,Paraguay,http://berkeleyearth.lbl.gov/regions/paraguay,"['South America', 'Southern Hemisphere', 'Global Land']"
168,Peru,http://berkeleyearth.lbl.gov/regions/peru,"['South America', 'Southern Hemisphere', 'Global Land']"
169,Philippines,http://berkeleyearth.lbl.gov/regions/philippines,"['South-Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
170,Poland,http://berkeleyearth.lbl.gov/regions/poland,"['Europe', 'Northern Hemisphere', 'Global Land']"
171,Portugal,http://berkeleyearth.lbl.gov/regions/portugal,"['Europe', 'Northern Hemisphere', 'Global Land']"
172,Puerto Rico,http://berkeleyearth.lbl.gov/regions/puerto-rico,"['Caribbean', 'North America', 'Northern Hemisphere', 'Global Land']"
173,Qatar,http://berkeleyearth.lbl.gov/regions/qatar,"['Asia', 'Northern Hemisphere', 'Global Land']"
174,Reunion,http://berkeleyearth.lbl.gov/regions/reunion,"['Eastern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
175,Romania,http://berkeleyearth.lbl.gov/regions/romania,"['Europe', 'Northern Hemisphere', 'Global Land']"
176,Russia,http://berkeleyearth.lbl.gov/regions/russia,"['Asia', 'Northern Hemisphere', 'Global Land']"
177,Rwanda,http://berkeleyearth.lbl.gov/regions/rwanda,"['Eastern Africa', 'Africa', 'Southern Hemisphere', 'Global Land']"
178,Saint Barthélemy,http://berkeleyearth.lbl.gov/regions/saint-barthélemy,[]
179,Saint Kitts and Nevis,http://berkeleyearth.lbl.gov/regions/saint-kitts-and-nevis,[]
180,Saint Lucia,http://berkeleyearth.lbl.gov/regions/saint-lucia,[]
181,Saint Martin,http://berkeleyearth.lbl.gov/regions/saint-martin,[]
182,Saint Pierre and Miquelon,http://berkeleyearth.lbl.gov/regions/saint-pierre-and-miquelon,"['South America', 'North America', 'Northern Hemisphere', 'Global Land']"
183,Saint Vincent and the Grenadines,http://berkeleyearth.lbl.gov/regions/saint-vincent-and-the-grenadines,[]
184,Samoa,http://berkeleyearth.lbl.gov/regions/samoa,"['Polynesia', 'Oceania', 'Southern Hemisphere', 'Global Land']"
185,San Marino,http://berkeleyearth.lbl.gov/regions/san-marino,"['Europe', 'Northern Hemisphere', 'Global Land']"
186,Sao Tome and Principe,http://berkeleyearth.lbl.gov/regions/sao-tome-and-principe,[]
187,Saudi Arabia,http://berkeleyearth.lbl.gov/regions/saudi-arabia,"['Asia', 'Northern Hemisphere', 'Global Land']"
188,Senegal,http://berkeleyearth.lbl.gov/regions/senegal,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
189,Serbia,http://berkeleyearth.lbl.gov/regions/serbia,"['Europe', 'Northern Hemisphere', 'Global Land']"
190,Seychelles,http://berkeleyearth.lbl.gov/regions/seychelles,[]
191,Sierra Leone,http://berkeleyearth.lbl.gov/regions/sierra-leone,"['Western Africa', 'Africa', 'Northern Hemisphere', 'Global Land']"
192,Singapore,http://berkeleyearth.lbl.gov/regions/singapore,"['South-Eastern Asia', 'Asia', 'Northern Hemisphere', 'Global Land']"
193,Sint Maarten,http://berkeleyearth.lbl.gov/regions/sint-maarten,[]
194,Slovakia,http://berkeleyearth.lbl.gov/regions/slovakia,"['Europe', 'Northern Hemisphere', 'Global Land']"
195,Slovenia,http://berkeleyearth.lbl.gov/regions/slovenia,"['Europe', 'Northern Hemisphere', 'Global Land']"
196,Solomon Islands,http://berkeleyearth.lbl.gov/regions/solomon-islands,"['Melanesia', 'Oceania', 'Southern Hemisphere', 'Global Land']"
